movie,year,timeMin,imdb,metascore,votes,us_grossMillions
Trainspotting,1996,93,8.1,83,624253,16.5
Toy Story,1995,81,8.3,95,866083,191.8
Manchester by the Sea,2016,137,7.8,96,239014,47.7
Amadeus,1984,160,8.3,88,361661,51.97
Lion,2016,118,8,69,207261,51.74
Rain Man,1988,133,8,65,465717,178.8
Saw,2004,103,7.6,46,372489,56
"Crouching Tiger, Hidden Dragon",2000,120,7.8,94,249857,128.08
Rush,2013,123,8.1,74,423640,26.95
The Dirty Dozen,1967,150,7.7,73,65912,45.3
Amélie,2001,122,8.3,69,691440,33.23
The Bourne Identity,2002,119,7.9,68,499688,121.66
The Deer Hunter,1978,183,8.1,86,304933,48.98
Beauty and the Beast,1991,84,8,95,411064,218.97
Before Sunrise,1995,101,8.1,77,263654,5.54
Princess Mononoke,1997,134,8.4,76,331951,2.38
3:10 to Yuma,2007,122,7.7,76,284458,53.61
Sense and Sensibility,1995,136,7.6,84,99768,43.18
"Lock, Stock and Two Smoking Barrels",1998,107,8.2,66,525342,3.9
Blue Velvet,1986,120,7.7,76,176867,8.55
Rear Window,1954,112,8.4,100,433352,36.76
Coraline,2009,100,7.7,80,191247,75.29
The Machinist,2004,101,7.7,61,351650,1.08
The Last Samurai,2003,154,7.7,55,392827,111.11
28 Days Later...,2002,113,7.6,73,369972,45.06
The Untouchables,1987,119,7.9,79,273365,76.27
Captain Phillips,2013,134,7.8,82,412894,107.1
Mary Poppins,1964,139,7.8,88,154585,102.27
Little Miss Sunshine,2006,101,7.8,80,432599,59.89
Inside Man,2006,129,7.6,76,332103,88.51
The Blues Brothers,1980,133,7.9,60,179237,57.23
Training Day,2001,122,7.7,69,382161,76.63
Hell or High Water,2016,102,7.6,88,198768,26.86
Slumdog Millionaire,2008,120,8,84,787199,141.32
Donnie Brasco,1997,127,7.7,76,272504,41.91
Rosemary's Baby,1968,137,8,96,188162,
The Blind Side,2009,129,7.6,53,286572,255.96
Serenity,2005,119,7.8,74,280123,25.51
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,441846,0.28
Bridge of Spies,2015,142,7.6,81,281703,72.31
The Naked Gun: From the Files of Police Squad!,1988,85,7.6,76,148946,78.76
Indiana Jones and the Temple of Doom,1984,118,7.6,57,438808,179.87
Carlito's Way,1993,144,7.9,65,196981,36.95
The Hunt for Red October,1990,135,7.6,58,175318,122.01
Walk the Line,2005,136,7.8,72,229865,119.52
